time_stamp,humidity,temperature,pm2.5_atm
2023-04-03T00:00:00Z,60.734,42.689,1.12
2023-04-03T06:00:00Z,62.45,39.523,0
2023-04-03T12:00:00Z,51.1,45.322,3.514
2023-04-03T18:00:00Z,43.039,51.033,4.989
2023-04-04T00:00:00Z,49.595,44.75,5.013
2023-04-04T06:00:00Z,56.905,40.822,1.41
2023-04-04T12:00:00Z,57.322,41.456,0.075
2023-04-04T18:00:00Z,69.906,40.845,0.278
2023-04-05T00:00:00Z,71.45,41.45,1.049
2023-04-05T06:00:00Z,70.5,42.861,2.701
2023-04-05T12:00:00Z,64.467,37.022,0.08
2023-04-05T18:00:00Z,52.328,34.617,0
2023-04-06T00:00:00Z,56.944,31.078,0.581
2023-04-06T06:00:00Z,55.402,28.239,0.014
2023-04-06T12:00:00Z,45.2,34.722,0.036
2023-04-06T18:00:00Z,37.211,43.3,0.026
2023-04-07T00:00:00Z,47.208,37.037,1.882
2023-04-07T06:00:00Z,49.455,33.877,1.545
2023-04-07T12:00:00Z,41.655,44.189,2.079
2023-04-07T18:00:00Z,35.089,54.347,5.317
2023-04-08T00:00:00Z,42.578,46.778,3.912
2023-04-08T06:00:00Z,52.433,44.883,7.856
2023-04-08T12:00:00Z,43.328,53.789,12.102
2023-04-08T18:00:00Z,28.333,67.433,16.279
2023-04-09T00:00:00Z,30.083,60.511,5.434
2023-04-09T06:00:00Z,34.222,54.6,5.758
2023-04-09T12:00:00Z,29.539,61.911,12.604
2023-04-09T18:00:00Z,25.978,69.533,14.717
