time_stamp,pm2.5_atm
2023-04-03T00:00:00Z,4.814
2023-04-03T06:00:00Z,2.3354999999999997
2023-04-03T12:00:00Z,7.745
2023-04-03T18:00:00Z,8.0535
2023-04-04T00:00:00Z,9.9495
2023-04-04T06:00:00Z,6.913
2023-04-04T12:00:00Z,4.2805
2023-04-04T18:00:00Z,4.0125
2023-04-05T00:00:00Z,4.5845
2023-04-05T06:00:00Z,8.0765
2023-04-05T12:00:00Z,1.1935
2023-04-05T18:00:00Z,1.5135
2023-04-06T00:00:00Z,4.668
2023-04-06T06:00:00Z,3.4335
2023-04-06T12:00:00Z,3.092
2023-04-06T18:00:00Z,3.029
2023-04-07T00:00:00Z,6.9125
2023-04-07T06:00:00Z,8.2355
2023-04-07T12:00:00Z,7.621
2023-04-07T18:00:00Z,9.0215
2023-04-08T00:00:00Z,8.1175
2023-04-08T06:00:00Z,14.075
2023-04-08T12:00:00Z,15.6395
2023-04-08T18:00:00Z,14.982500000000002
2023-04-09T00:00:00Z,7.619
2023-04-09T06:00:00Z,8.196
2023-04-09T12:00:00Z,9.457999999999998
2023-04-09T18:00:00Z,11.69
