time_stamp,temperature,pm2.5_atm
2022-12-24T00:00:00Z,1.394,2.1905
2022-12-24T06:00:00Z,0.827,0.958
2022-12-24T12:00:00Z,10.747,1.2349999999999999
2022-12-24T18:00:00Z,13.75,1.381
2022-12-25T00:00:00Z,6.019,4.5845
2022-12-25T06:00:00Z,4,2.4735
2022-12-25T12:00:00Z,11.8,2.855
2022-12-25T18:00:00Z,13.45,5.981
2022-12-26T00:00:00Z,13.25,14.008
2022-12-26T06:00:00Z,11.05,4.132
2022-12-26T12:00:00Z,14.154,1.054
2022-12-26T18:00:00Z,19.967,3.075
2022-12-27T00:00:00Z,11.3,7.0685
2022-12-27T06:00:00Z,11.189,5.7620000000000005
2022-12-27T12:00:00Z,21.917,5.617
2022-12-27T18:00:00Z,29.698,6.066000000000001
2022-12-28T00:00:00Z,26.755,18.53
2022-12-28T06:00:00Z,32,17.345
2022-12-28T12:00:00Z,36.395,17.7465
2022-12-28T18:00:00Z,42.261,17.126
2022-12-29T00:00:00Z,41.273,23.177
2022-12-29T06:00:00Z,41.372,24.767
2022-12-29T12:00:00Z,40.611,33.31
2022-12-29T18:00:00Z,42.011,40.549499999999995
