time_stamp,humidity,temperature,pm2.5_atm
2023-10-28T00:00:00Z,55.767,41.3,8.261
2023-10-28T01:00:00Z,55.334,40.334,8.701
2023-10-28T02:00:00Z,54.767,40.034,9.242
2023-10-28T03:00:00Z,53.367,40.1,8.61
2023-10-28T04:00:00Z,51.933,39.9,9.071
2023-10-28T05:00:00Z,51.7,40.3,12.786
2023-10-28T06:00:00Z,51.166,39.2,11.5825
2023-10-28T07:00:00Z,50.467,38.867,11.838000000000001
2023-10-28T08:00:00Z,49.133,38.7,13.8325
2023-10-28T09:00:00Z,47.933,38.067,16.9345
2023-10-28T10:00:00Z,47.733,38.467,21.514
2023-10-28T11:00:00Z,46.4,38.467,20.564999999999998
2023-10-28T12:00:00Z,46.2,38.966,17.0965
2023-10-28T13:00:00Z,46.566,38.267,20.5835
2023-10-28T14:00:00Z,45.333,39.666,20.5985
2023-10-28T15:00:00Z,44.867,40.466,20.810000000000002
2023-10-28T16:00:00Z,44.3,42.2,23.0265
2023-10-28T17:00:00Z,40.466,44.233,22.3475
2023-10-28T18:00:00Z,41.625,42.8,21.704
2023-10-28T19:00:00Z,41.656,42.633,22.509999999999998
2023-10-28T20:00:00Z,40.466,44.034,23.262999999999998
2023-10-28T21:00:00Z,41,43.233,25.881
2023-10-28T22:00:00Z,41.633,42.534,25.323999999999998
2023-10-28T23:00:00Z,42.367,42.067,23.7595
2023-10-29T00:00:00Z,43.9,41.666,26.231
2023-10-29T01:00:00Z,46.133,41.567,33.0935
2023-10-29T02:00:00Z,48.067,41.267,35.489999999999995
2023-10-29T03:00:00Z,48.633,40.334,36.604
2023-10-29T04:00:00Z,50.3,39.966,39.8765
2023-10-29T05:00:00Z,48.466,40,37.497
2023-10-29T06:00:00Z,47.267,39.133,34.038
2023-10-29T07:00:00Z,46.534,38.933,33.069
2023-10-29T08:00:00Z,46.767,38.667,32.227000000000004
2023-10-29T09:00:00Z,47.3,38.434,31.8185
2023-10-29T10:00:00Z,47.033,38.8,31.557499999999997
2023-10-29T11:00:00Z,48.534,38,30.264
2023-10-29T12:00:00Z,49,38.767,28.7715
2023-10-29T13:00:00Z,48.4,39.867,28.0875
2023-10-29T14:00:00Z,43.566,43,29.671999999999997
2023-10-29T15:00:00Z,40.166,46.6,25.703
2023-10-29T16:00:00Z,34.4,48.9,16.573500000000003
2023-10-29T17:00:00Z,29,49.534,9.523
2023-10-29T18:00:00Z,29.466,49.233,9.283999999999999
2023-10-29T19:00:00Z,31.533,48.8,10.0465
2023-10-29T20:00:00Z,30.034,49.067,8.065999999999999
2023-10-29T21:00:00Z,28.509,48.292,4.821
2023-10-29T22:00:00Z,29.467,47.666,6.504
2023-10-29T23:00:00Z,28.8,46.034,5.3115000000000006
2023-10-30T00:00:00Z,32.166,42.733,4.269
2023-10-30T01:00:00Z,39.434,40.034,9.887
2023-10-30T02:00:00Z,42,39,13.815000000000001
2023-10-30T03:00:00Z,43.416,37.5,15.073
2023-10-30T04:00:00Z,44.675,36.242,15.566
2023-10-30T05:00:00Z,45.633,35.484,15.3005
2023-10-30T06:00:00Z,46.9,35.45,16.694
2023-10-30T07:00:00Z,48,34.875,15.9405
2023-10-30T08:00:00Z,49.167,34.3,16.5955
2023-10-30T09:00:00Z,50.916,33.334,17.651
2023-10-30T10:00:00Z,52.875,32.708,17.5375
2023-10-30T11:00:00Z,52.334,33,15.665
2023-10-30T12:00:00Z,51.733,33.534,16.5125
2023-10-30T13:00:00Z,50.334,36.666,20.2125
2023-10-30T14:00:00Z,40.633,43.267,15.6035
2023-10-30T15:00:00Z,35,45.834,13.1815
2023-10-30T16:00:00Z,32.7,48.767,13.288499999999999
2023-10-30T17:00:00Z,31.8,49.933,11.0765
2023-10-30T18:00:00Z,34.9,46.4,9.212499999999999
2023-10-30T19:00:00Z,35.2,47.133,10.0885
2023-10-30T20:00:00Z,35.867,46.834,7.5184999999999995
2023-10-30T21:00:00Z,37.534,46.233,7.2935
2023-10-30T22:00:00Z,37.267,47,7.0175
2023-10-30T23:00:00Z,36.567,46.767,6.458
2023-10-31T00:00:00Z,36.933,45.166,5.8315
2023-10-31T01:00:00Z,37.267,45,5.2095
2023-10-31T02:00:00Z,53.1,42.633,4.237
2023-10-31T03:00:00Z,62.508,41.4,4.341
2023-10-31T04:00:00Z,59.6,39.8,17.137500000000003
2023-10-31T05:00:00Z,60.133,37.466,20.996
2023-10-31T06:00:00Z,57.867,37.3,24.289
2023-10-31T07:00:00Z,63.233,36,15.5735
2023-10-31T08:00:00Z,68.633,34.434,8.0765
2023-10-31T09:00:00Z,64.8,34.7,10.2665
2023-10-31T10:00:00Z,62.6,34.8,8.668
2023-10-31T11:00:00Z,63.4,34.567,5.8675
2023-10-31T12:00:00Z,64.367,35.333,6.471
2023-10-31T13:00:00Z,62.234,36.067,7.9510000000000005
2023-10-31T14:00:00Z,54.834,38.267,5.353
2023-10-31T15:00:00Z,46.758,42.075,4.201
2023-10-31T16:00:00Z,43.1,43.833,3.9114999999999998
2023-10-31T17:00:00Z,39.933,44.733,3.6734999999999998
2023-10-31T18:00:00Z,37.534,45.133,3.0115
2023-10-31T19:00:00Z,35.633,45.367,2.8185000000000002
2023-10-31T20:00:00Z,33.433,46.267,2.377
2023-10-31T21:00:00Z,35.008,44.233,2.6515000000000004
2023-10-31T22:00:00Z,35.966,43.233,3.5765000000000002
2023-10-31T23:00:00Z,38.133,42,7.128
2023-11-01T00:00:00Z,39.633,41.6,13.439
2023-11-01T01:00:00Z,42.233,41,33.179
2023-11-01T02:00:00Z,44.133,39.934,12.895
2023-11-01T03:00:00Z,48.666,38.1,5.6175
2023-11-01T04:00:00Z,51.7,37.1,4.3575
2023-11-01T05:00:00Z,52.3,36.933,5.298
2023-11-01T06:00:00Z,53,36,6.0585
2023-11-01T07:00:00Z,54.767,34.733,5.8715
