Sensor_ID,Y,X,time_stamp,humidity,temperature,pm2.5_atm,cluster,reclassified_cluster
108274,45.030721,-93.393912,2023-04-03T00:00:00Z,50.906,45.65,0.0435,1,C2 (12.1-35.4)
46215,44.9100027,-93.2322485,2023-04-03T00:00:00Z,27.539,75.744,0.554,1,C2 (12.1-35.4)
143226,44.9114735,-93.2251173,2023-04-03T00:00:00Z,49.844,48.394,43.6255,4,C5 (150.4-500)
157935,44.9298497,-93.3245593,2023-04-03T00:00:00Z,56.816,42.089,4.7775,6,
142732,44.917056,-93.274602,2023-04-03T00:00:00Z,54.166,44.7,7.3265,3,C4 (55.5-150.3)
157845,44.9280732,-93.2691738,2023-04-03T00:00:00Z,56.089,42.811,11.256,3,C4 (55.5-150.3)
11134,44.927815,-93.322808,2023-04-03T00:00:00Z,0.0,32.0,3.788,6,
162845,44.908493,-93.116658,2023-04-03T00:00:00Z,13.839,85.056,0.488,1,C2 (12.1-35.4)
157871,44.9350858,-93.270685,2023-04-03T00:00:00Z,56.222,43.844,5.6985,6,
157861,44.929823,-93.258342,2023-04-03T00:00:00Z,54.717,42.356,7.909,3,C4 (55.5-150.3)
142750,44.923123,-93.329243,2023-04-03T00:00:00Z,52.617,47.045,5.9855,6,
113486,44.927942,-93.254285,2023-04-03T00:00:00Z,54.689,44.295,3.2195,1,C2 (12.1-35.4)
3088,44.935901,-93.21761,2023-04-03T00:00:00Z,51.04,47.34,2.344,1,C2 (12.1-35.4)
145470,44.908042,-93.2313388,2023-04-03T00:00:00Z,62.141,40.385,6.518000000000001,6,
43305,44.898873,-93.302307,2023-04-03T00:00:00Z,56.367,43.078,7.959,3,C4 (55.5-150.3)
156605,44.9508794,-93.2478742,2023-04-03T00:00:00Z,57.602,44.694,6.076499999999999,6,
5582,44.891801,-93.343657,2023-04-03T00:00:00Z,46.572,47.658,3.6025,6,
174451,44.9533612,-93.2471748,2023-04-03T00:00:00Z,45.861,52.772,16.179000000000002,2,C3 (35.5-55.4)
107096,44.94275,-93.1704394,2023-04-03T00:00:00Z,24.145,74.111,1.327,1,C2 (12.1-35.4)
157757,44.954324,-93.249533,2023-04-03T00:00:00Z,55.072,42.872,5.693,6,
108364,44.878977,-93.354913,2023-04-03T00:00:00Z,55.983,42.528,7.233499999999999,6,
142720,44.956349,-93.255908,2023-04-03T00:00:00Z,53.678,44.295,6.258,6,
143916,44.9608851,-93.2614542,2023-04-03T00:00:00Z,54.617,44.089,6.4745,6,
142728,44.957925,-93.246001,2023-04-03T00:00:00Z,56.933,43.005,6.6265,6,
108366,44.8798835,-93.3896065,2023-04-03T00:00:00Z,55.639,42.111,5.4670000000000005,6,
116413,44.9613228,-93.242437,2023-04-03T00:00:00Z,60.734,42.689,1.12,1,C2 (12.1-35.4)
142748,44.9657162,-93.2849645,2023-04-03T00:00:00Z,,,4.814,6,
21179,44.9659784,-93.284883,2023-04-03T00:00:00Z,57.084,47.245,4.7915,6,
145454,44.944523,-93.239353,2023-04-03T00:00:00Z,56.283,43.405,8.616,3,C4 (55.5-150.3)
171919,44.900388,-93.387719,2023-04-03T00:00:00Z,37.529,55.039,5.2545,6,
142774,44.953557,-93.317888,2023-04-03T00:00:00Z,60.811,41.956,9.3635,3,C4 (55.5-150.3)
157877,44.9010151,-93.2084282,2023-04-03T00:00:00Z,58.072,42.222,6.6675,6,
145610,45.0102261,-93.2855661,2023-04-03T00:00:00Z,57.236,42.582,6.423500000000001,6,
142752,44.998442,-93.297803,2023-04-03T00:00:00Z,,,5.6505,6,
142726,45.015118,-93.289444,2023-04-03T00:00:00Z,58.911,42.583,6.498,6,
143648,45.03,-93.292549,2023-04-03T00:00:00Z,59.921,41.73,5.738,6,
157787,45.0394756,-93.2886019,2023-04-03T00:00:00Z,54.744,43.972,4.846,6,
142744,44.995871,-93.296236,2023-04-03T00:00:00Z,100.0,40.403,6.9485,6,
75827,44.932755,-93.140978,2023-04-03T00:00:00Z,38.389,-228.0,5.865,6,
143238,45.0423825,-93.2978862,2023-04-03T00:00:00Z,59.988,41.475,5.4555,6,
142718,44.995739,-93.295972,2023-04-03T00:00:00Z,58.944,43.456,10.0785,3,C4 (55.5-150.3)
23989,45.112031,-93.277993,2023-04-03T00:00:00Z,61.356,41.228,4.5075,6,
143222,45.0463341,-93.3154419,2023-04-03T00:00:00Z,,,4.9165,6,
171059,45.0594076,-93.2941786,2023-04-03T00:00:00Z,13.289,93.772,4.782,6,
174855,45.0594411,-93.2941663,2023-04-03T00:00:00Z,35.304,55.872,4.686999999999999,6,
143214,44.9063869,-93.2323539,2023-04-03T00:00:00Z,60.911,42.483,5.655,6,
142730,44.992773,-93.297734,2023-04-03T00:00:00Z,53.672,45.6,5.028499999999999,6,
142756,45.0045553,-93.2604822,2023-04-03T00:00:00Z,58.367,42.85,5.914,6,
145616,44.9792079,-93.3026155,2023-04-03T00:00:00Z,54.583,44.8,5.5355,6,
54907,45.00335341,-93.25570528,2023-04-03T00:00:00Z,53.739,43.333,8.624,3,C4 (55.5-150.3)
143666,44.9978629,-93.2491069,2023-04-03T00:00:00Z,53.95,44.928,6.1475,6,
157837,44.9879989,-93.3105071,2023-04-03T00:00:00Z,56.878,41.684,5.292,6,
143224,45.008751,-93.2498991,2023-04-03T00:00:00Z,56.961,42.905,5.823,6,
145202,45.013673,-93.234185,2023-04-03T00:00:00Z,55.083,43.072,6.309,6,
143246,44.901768,-93.277434,2023-04-03T00:00:00Z,55.667,42.367,6.4955,6,
126487,45.0386,-93.2142,2023-04-03T00:00:00Z,58.056,43.039,1.067,1,C2 (12.1-35.4)
157747,45.0158072,-93.2504886,2023-04-03T00:00:00Z,39.339,53.111,3.5475,6,
145204,44.9680397,-93.21806909,2023-04-03T00:00:00Z,58.389,42.961,5.6805,6,
143242,44.9675165,-93.2114928,2023-04-03T00:00:00Z,60.367,42.717,6.291499999999999,6,
145250,44.9681144,-93.3170144,2023-04-03T00:00:00Z,53.111,47.194,5.814500000000001,6,
142736,44.9724723,-93.2830342,2023-04-03T00:00:00Z,56.0,44.656,5.4875,6,
143636,45.0097112,-93.2949223,2023-04-03T00:00:00Z,50.172,47.325,5.2235,6,
85113,44.9364071,-93.1789915,2023-04-03T00:00:00Z,56.089,43.222,6.618,6,
17189,44.9812848,-93.2716517,2023-04-03T00:00:00Z,14.872,88.739,0.685,1,C2 (12.1-35.4)
128195,44.935632,-93.186259,2023-04-03T00:00:00Z,57.65,43.517,1.711,1,C2 (12.1-35.4)
98259,44.8996846,-93.1791584,2023-04-03T00:00:00Z,59.717,41.911,2.984,1,C2 (12.1-35.4)
143216,44.9777366,-93.2642892,2023-04-03T00:00:00Z,51.914,47.05,5.1005,6,
147749,44.955786,-93.385116,2023-04-03T00:00:00Z,21.6225,83.125,0.0424999999999999,1,C2 (12.1-35.4)
107082,44.9202,-93.17529,2023-04-03T00:00:00Z,16.0,80.772,0.108,1,C2 (12.1-35.4)
162145,44.928413,-93.411576,2023-04-03T00:00:00Z,46.4695,48.9775,6.853,6,
174855,45.0594411,-93.2941663,2023-04-03T06:00:00Z,35.3,52.683,1.678,1,C2 (12.1-35.4)
142730,44.992773,-93.297734,2023-04-03T06:00:00Z,59.739,39.75,2.545,1,C2 (12.1-35.4)
143916,44.9608851,-93.2614542,2023-04-03T06:00:00Z,56.989,40.794,3.1825,1,C2 (12.1-35.4)
157747,45.0158072,-93.2504886,2023-04-03T06:00:00Z,42.072,47.794,1.306,1,C2 (12.1-35.4)
128195,44.935632,-93.186259,2023-04-03T06:00:00Z,59.403,40.196,0.001,1,C2 (12.1-35.4)
145204,44.9680397,-93.21806909,2023-04-03T06:00:00Z,60.872,39.378,2.9065000000000003,1,C2 (12.1-35.4)
126487,45.0386,-93.2142,2023-04-03T06:00:00Z,59.183,39.967,0.0875,1,C2 (12.1-35.4)
142728,44.957925,-93.246001,2023-04-03T06:00:00Z,58.318,40.122,2.577,1,C2 (12.1-35.4)
171059,45.0594076,-93.2941786,2023-04-03T06:00:00Z,12.761,93.456,0.001,1,C2 (12.1-35.4)
145454,44.944523,-93.239353,2023-04-03T06:00:00Z,58.522,40.25,5.433,6,
85113,44.9364071,-93.1789915,2023-04-03T06:00:00Z,59.75,38.844,2.569,1,C2 (12.1-35.4)
157837,44.9879989,-93.3105071,2023-04-03T06:00:00Z,59.367,38.322,2.3535000000000004,1,C2 (12.1-35.4)
145470,44.908042,-93.2313388,2023-04-03T06:00:00Z,63.197,37.971,2.4285,1,C2 (12.1-35.4)
108366,44.8798835,-93.3896065,2023-04-03T06:00:00Z,57.689,38.533,2.865,1,C2 (12.1-35.4)
157871,44.9350858,-93.270685,2023-04-03T06:00:00Z,58.544,40.778,2.1205,1,C2 (12.1-35.4)
143226,44.9114735,-93.2251173,2023-04-03T06:00:00Z,51.755,44.855,2.2525,1,C2 (12.1-35.4)
157845,44.9280732,-93.2691738,2023-04-03T06:00:00Z,59.322,39.239,4.593,6,
